,Tweet
2972,"https://t.co/8SWRP6Syl2

Boycott#RSS-BJP #Agnipath#AndhBhakts #ModiGoBack
@republic @kajalnishad @ZeeNewsEnglish @marshal_ramdev @smritiirani @gauravbh @kishanreddybjp @the_VinayDubey @kajalnishad @KTR_News @sanjivbhatt @sardesairajdeep @sambitswaraj @sudhirchaudhary @aditi_tyagi https://t.co/jwsvHkpTJP"
2973,"Pulwama happened before 2019 &amp; China is planning something bigger before 2024.

As India anticipates &amp; prepares for it by hiring more soldiers through #Agnipath, opposition wants to derail it.Traitors must be exposed.

@KapilMishra_IND @ARanganathan72 @rajnathsingh @narendramodi"
2974,"Agnipath Recruitment Rally organised by ARO, Srinagar for 10 districts of UT of J&amp;K commenced on 17 Sep 22 at Haiderbeig, Pattan.

@adgpi @NorthernComd_IA @ChinarcorpsIA

#Agniveer https://t.co/Ug9askdxDy"
2975,"Army launches two week pre-recruitment training for Women Agniveer aspirants in J&amp;K.
#Agniveer #KashmirNews https://t.co/Arx3bkBBIU"
2976,"Having announced #Agnipath to reform the recruitment of soldiers, the government now needs to bring in a similar scheme to reform the officer cadre, which, given its size, structure &amp; age profile, is ripe for reform: @LaxmanKBehera &amp; @Vinay_AFkaushal https://t.co/gbpTmME3Ef"
2977,"Agnipath Army Rally Present Situation Review || 18-09-2022 by NEIDA GUNTUR
#agnipath #armyrally #neida #guntur #inter #degree #defence #navy #airforce https://t.co/PypWzm1CrX"
2978,"#AgnipathRecruitment Rally by ARO, #Srinagar for 10 districts of UT of J&amp;K commenced on 17 Sep 22 at Haiderbeig, Pattan. #Youth from districts of #Budgam, #Shopian, #Pulwama &amp; #Ganderbal have participated in large numbers till date.

#Agniveer
#Kashmir
@adgpi 
@NorthernComd_IA https://t.co/APzWGBdnsy"
2979,"#Maoist document confirms urban focus, infiltration into #3FarmLaws and #Agniveer protests

Read more at:
https://t.co/VZLQdI50Ta https://t.co/PwSUCHJN4S"
2980,"Naxals had infiltrated #FarmerProtests &amp; #Agniveer 
scheme ‼️

Thank God they were Not successful in derailing the latter‼️

https://t.co/1akb6bJ3zJ"
2981,"#IndianArmy organized a lect on #NationalTechnologyDay2022 for the student of samote.The aim of the lecture was""For a sustainable future, every nation needs the latest technology"". 
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#paofc https://t.co/vb4QSq9FrU"
2982,Boycott #RSS-BJP #Agnipath #AndhBhakts @smritiirani @gauravbh @kishanreddybjp @the_VinayDubey@kajalnishad @sudhirchaudhary @aditi_tyagi @BJP4Telangana @bandisanjay_bjp @marshal_ramdev @ShahnawazBJP https://t.co/6BvwHpPrIR
2983,"IndianArmy conducted training for the youth for recruitment in IndianArmy, in view of upcoming recruitment rally. As part of continued effort to train the youth for recruitment
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/AnzkayIGW6"
2984,"Joining the Indian Army is not about getting a job, it's about living a life less ordinary !

Scene from #Southkashmir where the aspirants are working hard to join the #IndianArmy as an #Agniveer. 

#agniveerrecruitment2022 #Kashmir https://t.co/b1ELnPOSJY"
2985,"#IndianArmy conducted training for the youth for recruitment in #IndianArmy, in view of upcoming recruitment rally. As part of continued effort to train the youth for recruitment. 
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/HQaGfL8Pb7"
2986,"#IndianArmy conducted training for the youth for recruitment in #IndianArmy, in view of upcoming recruitment rally. As part of continued effort to train the youth for recruitment. 
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/K4wtEzG5vb"
2987,"#BREAKING | How many will you recruit in #Agniveer?: #AkhileshYadav ups the ante against #YogiAdityanath government

@pranshumisraa reports live | @GrihaAtul | #SamajwadiParty https://t.co/OsfxjjwwuP"
2988,"To prepare the #KashmiriYouth for the upcoming #Agnipath recruitment rallies, #IndianArmy is continuously organising the #Agniveer recruitment awareness program in various districts of  #Kashmir #JammuAndKashmir @ChinarcorpsIA @NorthernComd_IA https://t.co/UObivfKfZQ"
2989,"#IndianArmy org. a multi-speciality health camp at  remote village ahead of LC fence in Rajouri with aid from Distt civil Hospital. The camp benefitted approx 750 local
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#BINI 
#MonzaJuve https://t.co/7xFtTcMfxh"
2990,"Joining the Indian Army is not about getting a job, it's about living a life less ordinary !

Scene from #kashmir where the aspirants are working hard to join the #IndianArmy as an #Agniveer. 

#agniveerrecruitment2022 #Kashmir #wecan #WeCare #Ethereum #TikTok #BSC #BTC #NFTs https://t.co/7nXreLlvr6"
2991,"#IndianArmy org. a multi-speciality health camp at  remote village ahead of LC fence in Rajouri with aid from Distt civil Hospital. The camp benefitted approx 750 local
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#BINI 
#MonzaJuve https://t.co/1UqM176MQ1"
2992,"#IndianArmy organized a lect on #NationalTechnologyDay2022 for the student of samote.The aim of the lecture was""For a sustainable future, every nation needs the latest technology"". 
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#paofc https://t.co/5yYMb6YTQZ"
2993,"The #Agniveer Recruiment Rally for male candidates was held at #Haiderbeig, #Pattan in #Baramulla district of North #Kashmir. https://t.co/80pFbezFBY"
2994,#Video: A Defense official said that an #Agniveer recruitment rally for male candidates of 10 districts of #JammuAndKashmir and two districts of #Ladakh began in #Baramulla on Saturday. https://t.co/HynrO3RdyE
2995,"#agniveerrecruitment2022 

Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan.

#Kashmir #Srinagar #wecan #WeCare #IndianArmy #NewProfilePic #TikTok #Poshmark #BSC #BTC https://t.co/IGMaky9cm5"
2996,#IndianArmy A mock #Agniveer Rally was organised at #Mendhar by Indian Army to prepare aspirants for upcoming recruitment rallies. 66 participants took part #AgneepathScheme #IndianArmyPeoplesArmy #EXO #retirement #D23Expo #AdekunleOlopade𓃵 #chandigarhuniversity https://t.co/RAvUeWXRgj
2997,"@TheAtulMishra do u have answers for this ? 
1) #unemployment 
2) #pmcarefund 
3) #demonetisation 
4) #Agnipath 
5) #powerdomination
6)  miss use of powers 
7) india economic 
8) 60rs petrol 
9) gas subsidiary 
10) electricity price 
11) wave of tax’s for corporates"
2998,"A mock #Agniveer Rally was organised at #Mendhar by #IndianArmy to prepare aspirants for upcoming recruitment rallies. 66 participants took part #AgneepathScheme
@NorthernComd_IA
@adgpi https://t.co/zGVc8AejnC"
2999,"#agniveerrecruitment2022 

Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan.

#IndianArmy
#Kashmir
#youth
@manojsinha_ 
@majorgauravarya 
@AdityaRajKaul https://t.co/d3qGtSN3CQ"
3000,A tribal is supreme commander of forces. Yet our tribal youths face intense suffering before they could reach a job drive. Govt need to make their travel arrangement for such purposes. @shishiraryaTOI  on plight of #Agniveer aspirants. @rashtrapatibhvn @TOI_Nagpur @PMOIndia https://t.co/LIp9pDJb4l
3001,"#IndianArmy organized a lect on #NationalTechnologyDay2022 for the student of samote.The aim of the lecture was""For a sustainable future, every nation needs the latest technology"". 
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#paofc https://t.co/kDJyDVmSNJ"
3002,"#IndianArmy org. a multi-speciality health camp at  remote village ahead of LC fence in Rajouri with aid from Distt civil Hospital. The camp benefitted approx 750 local
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#BINI 
#MonzaJuve https://t.co/Z7TLy0dLac"
3003,"#IndianArmy conducted training for the youth for recruitment in #IndianArmy, in view of upcoming recruitment rally. As part of continued effort to train the youth for recruitment, mock test for clerk &amp; nursing .
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/GCpbd97UHc"
3004,"Joining the Indian Army is not about getting a job, it's about living a life less ordinary !

Scene from #Southkashmir where the aspirants are working hard to join the #IndianArmy as an #Agniveer. 

#agniveerrecruitment2022 #Kashmir @ChinarcorpsIA  @AdityaRajKaul @rwac48 https://t.co/Ff1VMGWDgh"
3005,"IndianArmy conducted training for the youth for recruitment in IndianArmy, in view of upcoming recruitment rally. As part of continued effort to train the youth for recruitment, mock test for clerk &amp; nursing .
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/mdg4rJmPWb"
3006,"The #Agniveer Recruiment Rally for male candidates was held at #Haiderbeig, #Pattan in #Baramulla district of North #Kashmir. https://t.co/Qvj8yMzobI"
3007,"Large number of #Kashmiri youth turned up for the #Agniveer Recruitment rally in #Kashmir.
@bpshah108 https://t.co/Mk4Mr8wHtM"
3008,"Stay blessed guys ❤️
https://t.co/nBFuyplYOE

#BBNaijaSeason7 #CaneloGGG3 #OnceApologizeToLisa #MonzaJuve #VALORANTChampions #SheggzOlu𓃵 #RubinaDilaik #AgnipathScheme https://t.co/jr5sN6h0mP"
3009,"Hadn't JumlaKing generated millions of jobs under #Agnipath and other schemes?

Hadn't Nimmo Aunty and Pappu Goyal  invested a Gazillion rupees to stimulate industry and create jobs?

Then why are Indians falling victims to such scams?

https://t.co/578va9MQC6"
3010,"@GemsOfBollywood Waise bhee not interested in #VikramVedha as already Seen  original Movie of #VijaySethupathi and they will do what they did to the original #Agnipath 😂

Better to watch #ManiRatnam
movie #PonniyinSelvan .At least indian culture and history will be shown in a big budget movie 👏"
3011,"( L-R) Brig TS Thakur, Capt Davar, Maj Gen DS Rana, MLA Lakhanpal at a huge rally of military veterans in Dist. Hamirpur (HP). The veterans flayed #ModiGovt on  #Agnipath, OROP, ECHS, CSD , unemployment and inflation. Rally a big morale booster for #INC. https://t.co/bAowdg99cQ"
3012,"India’s best.🇮🇳🇮🇳🇮🇳
Pace Stick #Drill of #IndianArmy 
#ChinarCorps 
#Agnipath 
#JoinAgnipath 
#Agniveer 
@MinistryofDefen https://t.co/gIwXNBgTjU"
3013,"Agniveer Recruitment Rally under HQ Recruiting Zone Jalandhar Cantt for 10 districts of UT of Jammu &amp; Kashmir &amp; 2 districts of Ladakh commenced in Hyderbeigh, Pattan today: Defence PRO, Srinagar

@infjammu @OfficeOfLGJandK
 
#Agniveer #RecruitmentRally #JammuKashmir #jpnews https://t.co/QzzcGWfgED"
3014,"#FIJaipur | #AgnipathScheme | Arvind Kejriwal takes a U-turn once again 

Written by: Sharat K Verma 

Click Here: https://t.co/oDqpLPGm9A 

#TheFirstIndia #India #Jaipur #News #Epaper https://t.co/DhtKJRCuUE"
3015,"#agniveerrecruitment2022 

Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan.

#Kashmir #Srinagar #IndianArmy https://t.co/S3w2lOv03Y"
3016,"Agniveer Recruitment Rally under HQ Recruiting Zone Jalandhar Cantt for 10 districts of UT of Jammu &amp; Kashmir &amp; 2 districts of Ladakh commenced in Hyderbeigh, Pattan today: Defence PRO, Srinagar
@infjammu @OfficeOfLGJandK 
#AGNIVEER #RecruitmentRally #JAMMUKASHMIR https://t.co/Ttns5Q0nw3"
3017,"Lately the tour of duty has been talking of the town in the Indian Armed Forces. Giving it a further push, the Cabinet Committee has given a historic decision on the 14th of May 2022 to approve this scheme.
Read more at:https://t.co/cl1MOQgOsA
#AgneepathScheme #Agniveer #edukhoj"
3018,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/2hBrxJWx91"
3019,This is why #Agniveer is important. This scheme is to filter greedy applicants who penetrate the organisation and weaken it. https://t.co/clPBOlo89o
3020,"Agniveer Recruitments Rally for male candidates will commence on 17 Sep at Haiderbeig,#Pattan. Male candidates of ten districts of UT of Jammu &amp; Kashmir and two districts of UT of #Ladakh will be appearing for the recruitment for next few days-Chinarcorps #Agniveer
@Manish Prasad https://t.co/igihzQyFFQ"
3021,"Agniveer Recruiment Rally for male candidates will commence on 17 Sep at Haiderbeig,#Pattan. Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh will be appearing for the recruitment for next few days. #Agniveer @ChinarcorpsIA #JammuAndKashmir 🪖🇮🇳 https://t.co/iKa5c615oH"
3022,I have pledged my support to #Agnipath for the Armed Forces. I am committed to spreading the correct information gathered from verified government sources. https://t.co/2MD482PFO0 via @mygovindia
3023,"Pre-Recruitment Training for the #youth, who have applied for the #agnipathscheme is being conducted at Wangat #Army Camp. 
#PreRecruitmentTraining
#JoinIndianArmy #TikTok #azadikaamritmahotsav2022 #India #indiantwitter #LISA https://t.co/aIXHxCpKOG"
3024,"Agniveer Recruiment Rally for male candidates will commence on 17 Sep at Haiderbeig,#Pattan. Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh will be appearing for the recruitment for next few days.  #Agniveer @ChinarcorpsIA https://t.co/FrrXuD19z2"
3025,"Golden opportunity for the aspirants
It's now or never
#Agnipath
#The_Golden_Hour
#CheetahIsBack
#Chandigarh
#chandigarhuniversity
#SundayMorning
#SSC CGL 2022 Notification is out today: Check Important Dates, Apply Online, Eligibility Criteria  https://t.co/cvvF7bqU0N"
3026,"#IndianArmy Conducted  mock #Agniveer Rally at #Jhangar,  Rajouri District (J&amp;K)
Facilitating the aspiring border area #youth in their preparation for upcoming recruitment rallies.
#Agniveers @prettypadmaja
@RDXThinksThat @AmiSri @changu311 @SoldierNationF1 
@avarakai @CaptDKS https://t.co/6kR8yjjWWx"
3027,"The Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district. Male candidates of ten districts of UT of J&amp;K and two districts of UT of Ladakh participated in the rally.

#JammuAndKashmir #Agniveer https://t.co/6PROo2MIrK"
3028,"IndianArmy  Monthly Medical Camp organised by IndianArmy for Veer Naris, Widows and Ex-Servicemen of doda .....
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#crunchyrollexpo 
#SHUTDOWN 
#queuejumpers https://t.co/Bvp6sh5QQU"
3029,"IndianArmy  Monthly Medical Camp organised by IndianArmy for Veer Naris, Widows and Ex-Servicemen of doda .....
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#crunchyrollexpo 
#SHUTDOWN 
#queuejumpers https://t.co/3cgdBfm7wC"
3030,"IndianArmy donated lights &amp; dustbins for Ziarat at Sangrama. Installation of Lights will facilitate movement of locals at ziarat during hours of darkness.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#BVBS04 
#SHUTDOWN 
#ENHYPEN https://t.co/p0iWLXI79j"
3031,"IndianArmy donated lights &amp; dustbins for Ziarat at Sangrama. Installation of Lights will facilitate movement of locals at ziarat during hours of darkness.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#BVBS04 
#SHUTDOWN 
#ENHYPEN https://t.co/xc8UkEV2nC"
3032,"IndianArmy NausheraBrigade organised mock Agniveer Rally at Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area youth in their preparation for upcoming recruitment rallies.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/IBAQgWw5w0"
3033,"IndianArmy NausheraBrigade organised mock Agniveer Rally at Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area youth in their preparation for upcoming recruitment rallies.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/m1oFgTnFvC"
3034,"IndianArmy TithwalBrigade org Medical &amp; Veterinary Camp at village Hidayatpur, Rajouri (J&amp;K). The local populace &amp; their livestock were diagnosed, provided with basic medical facilities &amp; medicines to needy people &amp; animals.
#AmritMahotsav #BadaltaKashmir #IndianArmy #Agnipath https://t.co/lOtCScnacY"
3035,"IndianArmy NausheraBrigade organised mock Agniveer Rally at Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area youth in their preparation for upcoming recruitment rallies.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath https://t.co/CniD8RK89g"
3036,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/oQGvU9YZKk"
3037,"#Agniveerrecruitment2022 
Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan. https://t.co/A9YSlfua0l"
3038,"IndianArmy  Monthly Medical Camp organised by IndianArmy for Veer Naris, Widows and Ex-Servicemen of doda .....
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#crunchyrollexpo 
#SHUTDOWN 
#queuejumpers https://t.co/zfUlka7oco"
3039,"Join #IndianArmy as #Agniveer 
Indian Army is Conducting  Pre-Recruitment #Training for local #youth under #Agnipath Scheme at Doda stadium of District #Doda (J&amp;K).
#JoinIndianArmy
#ShiningJK
#Agniveer 
@adgpi @Whiteknight_IA @JAMMULINKS @vishesh_jk @DistrictDoda @JAMMULINKS https://t.co/6YQgyI3chl"
3040,"The Josh is HIGH Sir!!
GOC #KiloForce reviewed the #agniveerrecruitment2022 today at Haiderbeigh, Pattan
Countless dreams are going to be true now
#Kashmir 
#Agniveer  
@NorthernComd_IA https://t.co/VG7kTnFf7P"
3041,Our dear leader has secured everything for security workers by introducing the concept of #Agniveer . https://t.co/XDnkKS4kzY
3042,"#agniveerrecruitment2022 

Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan.

#Kashmir #Srinagar @adgpi @ChinarcorpsIA @atulreellife @ColTekpa… https://t.co/3yA6j0T4G9"
3043,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/i1avpkZSXx"
3044,"#agniveerrecruitment2022 

Under HQ Recruiting Zone Jalandhar Cantt, #Agnipath recruitment rally of 10 distt of #JammuAndKashmir UT &amp; 02 distt of ladakh UT commenced in Hyderbeigh, Pattan.

#Kashmir #Srinagar @adgpi @ChinarcorpsIA @atulreellife @ColTekpal @Soldiering_ https://t.co/FdiBhEJlJC"
3045,"@republic There r crores donating there blood to his incapabilities across India.
Some #Unemployed 
Some at #China &amp; #Kashmir border
Some by his double engine rascist sarkaar #Kherkidaulatoll #Abwmanesar 
Some by price hike if #Petrol and #Diesel 
Some by becoming #Agniveer maaf karo bhai"
3046,"#Kashmiri #Youth are very spirited to join the #IndianArmy &amp; become nation's pride #agniveerrecruitment2022 

#IndianArmy is conducting seminars in various parts of #kashmir on #AgnipathScheme to aware the youth of its benefits. https://t.co/y5C7wjJ9DW"
3047,"#NayaKashmir
The #Agniveer Recruitment Rally for male candidates was held at Haiderbeig, Pattan in the #Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally.
#JammuAndKashmir #Youth https://t.co/LImTTwLufV"
3048,"My every morning starts with group of boys who are preparing for #agniveer,
Nd I am getting inspired from their dedication !!
I love watching them running nd doing exercises !!"
3049,"No #Agniveer scheme in @BCCI 

@withabhinsui @8PMnoCM"
3050,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/1z3K5GIl7t"
3051,"(Lateral entry) isn’t a magic wand to solve all problems of a steel frame, resting and corroding over time, just as the #Agnipath scheme cannot solve all issues of recruitment into @adgpi @indiannavy @IAF_MCC .. @bibekdebroy https://t.co/jedYAzTP6p"
3052,"@JaisharmaJps @BlueKni69774586 @Jairam_Ramesh @narendramodi Neither I am a sanatani nor do I support such rogue activities of any party like #Pulwama, #DEMONetization, #Lockdowns, #Agnipath, #Nepotism and the sale of PSUs. #Jaishah (BCCI) #Vijayendra (MLC) #Raghuvendra (MP) both sons of #Yediyurappa the retired former CM of #Karnataka."
3053,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/PI7j2alBIq"
3054,"Golden opportunity for the aspirants
It's now or never
#Agnipath
#The_Golden_Hour
#CheetahIsBack

#SSC CGL 2022 Notification is out today: Check Important Dates, Apply Online, Eligibility Criteria https://t.co/9Cjw2WrL83"
3055,"#IGARSouth organised  pre- recruitment training for joining under #Agnipath scheme at Phundrei village in Thoubal district, Manipur on 17 Sep 22.

@adgpi
@Easterncomd
@official_dgar https://t.co/EkgzgVh9Ij"
3056,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/PI7j2alBIq"
3057,"#NayaKashmir
The #Agniveer Recruiment Rally for male candidates was held at Haiderbeig, Pattan in Baramulla district of North #Kashmir. 
Male candidates of ten districts of UT of J&amp;K and two districts of UT of #Ladakh participated in the rally. https://t.co/PI7j2am9xY"
3058,#agniveer aspirants in #kashmir https://t.co/uukZ2oCp8C
3059,#agniveer aspirants in #kashmir https://t.co/eawXpvicsR
3060,"These visuals are from Baramulla, Jammu and Kashmir...
Physical Tests are going on for Agniveer Recruitment...
A large number of youth have arrived for Agniveer Recruitment.

#JammuKashmir #Agnipath #Agniveer #agniveerrecruitment2022 https://t.co/BG3jwD4EdP"
3061,"#ModiGovernance75
TRANSFORMING #DEFENCE SERVICES WITH #AGNIPATH @narendramodi. 
The scheme #empower #discipline &amp; #skill #youth with #military ethos in #civil society &amp; improve #battle #preparedness suited to the changing #dynamics
@DefenceMinIndia 
https://t.co/2eX7ers6pi https://t.co/0J4Sc4oS29"
3062,"#Agnipath* Recruitment Rally under HQ Recruiting Zone Jalandhar Cantt for 10 districts of UT of Jammu &amp; Kashmir &amp; 2 districts of Ladakh commenced in Hyderbeigh, Pattan today: Defence PRO, Srinagar

#JammuKashmir"
3063,"60,000 young aspirants have registered at the #Agniveer recruitment rally in #Nagpur.

The rally started on Saturday.

Image Courtesy: #ANI

#IADN https://t.co/ezK52t9zwe"
3064,"Be an Agniveer, Serve the Nation 

To prepare the #Kashmiri youth for the upcoming #Agnipath recruitment rallies, #IndianArmy  is continuously organising the #Agniveer recruitment awareness program in #Southkashmir 

#Kashmir #JammuAndKashmir @Chinarcorp… https://t.co/Ur80e5gwwz"
3065,"#IndianArmy #NausheraBrigade organised mock #Agniveer Rally at #Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area #youth in their preparation for upcoming recruitment rallies.
#AgnipathScheme

@SpokespersonMoD
@adgpi 
@OfficeOfLGJandK 
@PIBSrinagar https://t.co/oNVhK5LJwG"
3066,"Be an Agniveer, Serve the Nation 

To prepare the #Kashmiri youth for the upcoming #Agnipath recruitment rallies, #IndianArmy  is continuously organising the #Agniveer recruitment awareness program in #Southkashmir 

#Kashmir #JammuAndKashmir @ChinarcorpsIA @NorthernComd_IA https://t.co/rwiQRY00gK"
3067,"#Agnipath: #Agniveer recruitment rally commenced at Pattan 

@PRODefSrinagar 

https://t.co/Fj1bNhsJt0 https://t.co/sMNr86Flv3"
3068,"#AGNIVEER Recruitment Rally under HQ Recruiting Zone Jalandhar cantt for 10 districts of UT of #JammuAndKashmir &amp; 2 districts of Ladakh commenced at Haiderbeig, Pattan 17Sep22. @PIBSrinagar @lg_ladakh @diprjk @DIPR_Leh @ddnewsladakh @OfficeOfLGJandK @SpokespersonMoD @adgpi https://t.co/ILU1QW54kC"
3069,"#Nepal to decide on #Gorkha #soldiers under #AgnipathScheme after #polls
 https://t.co/6Qn376MT4q"
3070,"@PMOIndia @narendramodi In the words coining spree ""PM Of India"" has come out with above words chronologically-  #IndiaFirst #Make_In_India  #startupindia
 #Agnipath #Agniveers
#ShramJeevee #andolanjeevi &amp; #KatabyaPath.

We have a Prime Minister of words than works.@ravishndtv
@NationalForum
@pbhushan1"
3071,"Recruitment rally for Agniveers begins at Nagpur, around 60,000 aspiring candidates register #Agnipath #AgnipathRecruitmentScheme #AgnipathRecruitment
 https://t.co/IISpd4jR9c"
3072,"Recruitment rally for Agniveers begins at Nagpur, around 60,000 aspiring candidates register #Agnipath #AgnipathRecruitmentScheme #AgnipathRecruitment https://t.co/rx0fGfWIka"
3073,@bandisanjay_bjp @AmitShah Boycott #RSS-BJP #Agnipath #AndhBhakts https://t.co/3TBjEYjJIS
3074,"#IndianArmy #NausheraBrigade organised mock #Agniveer Rally at #Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area #youth in their preparation for upcoming recruitment rallies.
#AgnipathScheme

@SpokespersonMoD
@adgpi 
@OfficeOfLGJandK 
@PIBSrinagar https://t.co/eRv9FnSLUN"
3075,"It is the size of one's will which determines success.
#Agniveer 
#Kashmir 
#NayaKashmir https://t.co/0tcbUNthZd"
3076,"It is the size of one's will which determines success.
#Agniveer 
#Kashmir 
#NayaKashmir https://t.co/b484Hr7p5G"
3077,"It is the size of one's will which determines success.
#Agniveer 
#Kashmir 
#NayaKashmir https://t.co/HjriWap6tD"
3078,"There's only one way to succeed in anything and that is to give it everything.
#Agniveer 
#Kashmir 
#NayaKashmir https://t.co/YAPrnNAum6"
3079,"Army Recruitment rally for #Agniveer begins at Nagpur today and will continue till 7th October. Nearly 60,000 candidates have registered for the rally this time.

Source: District Information Officer, Nagpur
#wecare https://t.co/SNVAJTRCve"
3080,"#IndianArmy #NausheraBrigade organised mock #Agniveer Rally at #Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area #youth in their preparation for upcoming recruitment rallies.
#AgnipathScheme

#TejRan https://t.co/FDDklX7hMO"
3081,"@narendramodi is demanding retirement of #agniveers of  #Agnipath in four years...

But

He wants to extend the retirement 3more years to #jaishah of @BCCI"
3082,"#AgnipathScheme : #IndianArmy #NausheraBrigade organised mock #Agniveer Rally at #Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area #youth in their preparation for upcoming recruitment rallies. https://t.co/wkmD2SP8Io"
3083,"#UnemploymentDay  is the greatest achievement of Modi's govt. 
Youth will remember you ever for destroying their career .... 

You also compromise with national security..... So you can serve your master Adani and Ambani
#Agnipath  #Agniveer"
3084,"Army holds pre-training for Agnipath aspirants in Baramulla

#Agnipath #AgnipathRecruitment #agnipathrecruitmentscheme #JammuAndKashmir #Kashmir #Baramulla #Awazthevoice 

https://t.co/H9LQt5NOZ0"
3085,"In order to spread awareness on importance of timely first aid , SiachenWarriors organised a lecture for 61 students &amp; six staff members of Army Goodwill School Rajouri to mark WorldFirstAidDay on 10 Sep.
#AmritMahotsav #BadaltaKashmir #IndianArmyPeoplesArmy #Agnipath
#WizKid𓃵 https://t.co/CAe7rySxLA"
3086,"Indian Army's Naushera Brigade organised mock Agniveer Rally at Jhangar, in District Rajouri (J&amp;K). Facilitating the aspiring border area youth in their preparation for upcoming recruitment rallies.
#AgnipathScheme https://t.co/ywdlXZAtte"
